132.3	319000.00
141.5	389000.00
71.2	199000.00
277.4	599000.00
338.7	750000.00
330.5	810000.00
422.9	890000.00
367.6	895000.00
251.3	429000.00
127	299000.00
146.3	450000.00
312	599000.00
102.2	239000.00
166.5	399500.00
382.7	829900.00
338.7	820000.00
190	454500.00
374.4	850000.00
79.2	199000.00
330.5	865000.00
396.2	900000.00
126	199000.00
142.6	324900.00
213.5	409900.00
213.5	409900.00
216	640000.00
116	395000.00
234.4	560000.00
245	475000.00
89.4	106900.00
59.4	187500.00
103	264450.00
126.1	250000.00
105.5	138900.00
183.6	299500.00
173.3	290000.00
260	669000.00
151.4	369000.00
168.5	309000.00
119.8	229900.00
104.1	145000.00
126.1	235000.00
262.8	399000.00
97.3	199000.00
213.5	449900.00
195.7	489900.00
240	335000.00
75.6	95000.00
100.7	199000.00
520	949000.00
75.6	90000.00
200	349000.00
200	449970.00
490.5	699000.00
123.2	264900.00
300	349000.00
104.1	229900.00
161.7	265000.00
